beginpoint,endpoint,period,libsetup,checktype,required,arrival,slack,launchclk,captureclk,skew,fanout,netdelay,netcount,instcount,invdelay,bufdelay,combodelay,seqdelay,totaldelay,invcount,bufcount,combocount,seqcount,portcount,load,wirelength
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST12/RC_CGIC_INST_clone_clone/E,1.200,0,Clock Gating Setup Check,1.426,3.221,-1.794,0.295,0.38,0.08500000000000002,158,0.057,32,32,0.137,0.0,2.549,0.181,0.0,1,0,30,1,0,0.3090000000000001,1045.0940000000003
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST31/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.300,3.094,-1.794,0.295,0.224,-0.07099999999999998,134,0.051,34,34,0.096,0.0,2.4679999999999995,0.181,0.0,1,0,32,1,0,0.2740000000000001,919.532
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST18/RC_CGIC_INST_clone_1_clone/E,1.200,0,Clock Gating Setup Check,1.415,3.208,-1.793,0.295,0.325,0.030000000000000027,159,0.059,32,32,0.192,0.0,2.4810000000000003,0.181,0.0,2,0,29,1,0,0.3100000000000001,1055.6270000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST18/RC_CGIC_INST_clone_1/E,1.200,0,Clock Gating Setup Check,1.416,3.208,-1.793,0.295,0.326,0.031000000000000028,159,0.059,32,32,0.192,0.0,2.4810000000000003,0.181,0.0,2,0,29,1,0,0.3100000000000001,1055.6270000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST2/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.303,3.094,-1.792,0.295,0.254,-0.04099999999999998,157,0.059,32,32,0.155,0.0,2.404,0.181,0.0,2,0,29,1,0,0.3010000000000001,1022.5920000000003
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST40/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.428,3.219,-1.790,0.295,0.343,0.04800000000000004,226,0.067,30,30,0.219,0.0,2.455,0.181,0.0,2,0,27,1,0,0.36700000000000005,1094.24
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST2/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.305,3.094,-1.789,0.295,0.256,-0.03899999999999998,157,0.058,32,32,0.155,0.0,2.404,0.181,0.0,2,0,29,1,0,0.3010000000000001,1022.5920000000003
if_stage_i_instr_rdata_id_o_reg[24]/CP,gen_regfile_ff.register_file_i_rf_reg_q_reg[760]/D,1.200,0.106,Setup Check,1.572,3.361,-1.789,0.295,0.478,0.183,217,0.085,33,33,0.105,0.0,2.693,0.181,0.0,1,0,31,1,0,0.3890000000000001,1249.8210000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST6/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.305,3.093,-1.788,0.295,0.256,-0.03899999999999998,157,0.059,32,32,0.155,0.0,2.403,0.181,0.0,2,0,29,1,0,0.3010000000000001,1021.5870000000003
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST6/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.305,3.093,-1.788,0.295,0.256,-0.03899999999999998,157,0.059,32,32,0.155,0.0,2.403,0.181,0.0,2,0,29,1,0,0.3010000000000001,1021.5870000000003
